$24 497.00, 2023-03-14 12:08:01
$24 533.84, 2023-03-14 12:09:01
$24 533.84, 2023-03-14 12:10:02
$24 533.84, 2023-03-14 12:11:01
$24 533.84, 2023-03-14 12:12:01
$24 533.84, 2023-03-14 12:13:01
$24 533.84, 2023-03-14 12:14:01
$24 546.88, 2023-03-14 12:15:02
$24 546.88, 2023-03-14 12:16:01
$24 546.88, 2023-03-14 12:17:02
$24 546.88, 2023-03-14 12:18:01
$24 546.88, 2023-03-14 12:19:01
$24 546.88, 2023-03-14 12:20:02
$24 600.33, 2023-03-14 12:21:01
$24 600.33, 2023-03-14 12:22:02
$24 600.33, 2023-03-14 12:23:01
$24 600.33, 2023-03-14 12:24:01
$24 600.33, 2023-03-14 12:25:02
$24 600.33, 2023-03-14 12:26:01
$24 600.33, 2023-03-14 12:27:01
$24 600.33, 2023-03-14 12:28:01
$24 684.23, 2023-03-14 12:32:01
$24 684.23, 2023-03-14 12:33:01
$24 684.23, 2023-03-14 12:34:01
$24 650.46, 2023-03-14 12:35:02
$24 684.23, 2023-03-14 12:36:01
$24 650.46, 2023-03-14 12:37:02
$24 650.46, 2023-03-14 12:38:01
$24 650.46, 2023-03-14 12:39:01
$24 650.46, 2023-03-14 12:40:02
$24 651.33, 2023-03-14 12:41:02
$24 651.33, 2023-03-14 12:42:01
$24 651.33, 2023-03-14 12:43:01
$24 651.33, 2023-03-14 12:44:02
$24 651.33, 2023-03-14 12:45:01
$24 651.33, 2023-03-14 12:46:01
$24 675.94, 2023-03-14 12:47:02
$24 675.94, 2023-03-14 12:48:01
$24 675.94, 2023-03-14 12:49:01
$24 675.94, 2023-03-14 12:50:02
$24 675.94, 2023-03-14 12:51:01
$24 675.94, 2023-03-14 12:52:01
$24 663.18, 2023-03-14 12:53:02
$24 663.18, 2023-03-14 12:54:01
$24 663.18, 2023-03-14 12:55:01
$24 663.18, 2023-03-14 12:56:03
$24 663.18, 2023-03-14 12:57:01
$24 663.18, 2023-03-14 12:58:01
$24 695.89, 2023-03-14 12:59:02
$24 663.18, 2023-03-14 13:00:01
$24 695.89, 2023-03-14 13:01:02
$24 695.89, 2023-03-14 13:02:01
$24 695.89, 2023-03-14 13:03:01
$24 695.89, 2023-03-14 13:04:01
$24 698.44, 2023-03-14 13:05:02
$24 698.44, 2023-03-14 13:06:02
$24 698.44, 2023-03-14 13:07:01
$24 698.44, 2023-03-14 13:08:01
$24 698.44, 2023-03-14 13:09:02
$24 698.44, 2023-03-14 13:10:01
$24 704.26, 2023-03-14 13:11:01
$24 704.26, 2023-03-14 13:12:02
$24 704.26, 2023-03-14 13:13:01
$28 503.85, 2023-03-23 18:11:44
$28 047.59, 2023-03-23 20:03:07
$27 984.59, 2023-03-23 20:18:33
